Sonia,10 Brookline St.,Central Square,Cambridge ,,,
South Street Farm,138 South St.,near Union Square,Somerville,,,
Space Studio,438 Somerville Ave.,near Union Square,Somerville,,,
Cullinane Center at Spaulding Hospital,1575 Cambridge St.,,Mid-Cambridge,,,
St. Augustine African Orthodox Christian Church,137 Allston St.,,Cambridgeport,,,
St. Bartholomew’s Church,237 Harvard St.,The Port neighborhood near Central Square,Cambridge ,,,
St. James’s Episcopal Church,1991 Massachusetts Ave.,Porter Square,Cambridge ,,,
St. Paul AME Church,37 Bishop Allen Drive,The Port neighborhood near Central Square,Cambridge ,,,
St. Paul AME Christian Life Center,85 Bishop Allen Drive,Central Square,Cambridge ,,,
St. Paul’s Church,29 Mount Auburn St.,Harvard Square,Cambridge ,,,
St. Peter’s Episcopal Church,838 Massachusetts Ave.,Riverside near Central Square,Cambridge ,,,
Saint Peter’s Episcopal Church,15 Sellers St.,Riverside near Central Square,Cambridge ,,,
St. Peter’s Field,99 Sherman St.,in Neighborhood 9 just east of Fresh Pond,Cambridge ,,,
Saint Peter Parish,100 Concord Ave.,,West Cambridge,,,
Massachusetts Institute of Technology’s Building 32,also known as the Ray and Maria Stata Center,at 32 Vassar St.,Cambridge ,,,
Statue Park in Davis Square,,,Somerville,,,
MIT’s Stephen A Schwarzman College of Computing,51 Vassar St.,Area II,Cambridge,,,
Stereo Jack’s Records,736 Broadway,Ball Square,Somerville ,,,
Massachusetts Institute of Technology’s Stratton Student Center,84 Massachusetts Ave.,,Cambridge ,,,
Student Organization Center at Hillel,59 Shepard St.,up Garden Street northwest of Harvard Square,Cambridge ,,,
Summer Shack,149 Alewife Brooke Parkway,,Cambridge,,,
Sylvester Baxter Riverfront Park,300 Grand Union Blvd. at Assembly Row,,Somerville,,,
Swedenborg Chapel,50 Quincy St.,near Harvard Square,Cambridge ,,,
Massachusetts Institute of Technology’s Building E-51,also known as the Tang Center,70 Memorial Drive,Cambridge ,,,
Taco Loco Mexican Grill,44 Broadway,,East Somerville,,,
Taza Chocolate,561 Windsor St.,between Inman and Union squares,Somerville,,,
Tercentenary Theatre in Harvard Yard,,,Cambridge ,,,
Thelonious Monkfish, 524 Massachusetts Ave.,Central Square,Cambridge ,,,
Third Life Studio,33 Union Square,,Somerville,,,
Thirsty Scholar Pub,70 Beacon St.,Somerville,on the Cambridge border of Ward 2 ,,,
Toad,1912 Massachusetts Ave.,Porter Square,Cambridge ,,,
Tobin Montessori School,197 Vassal Lane,,West Cambridge,,,
Timothy J. Toomey Park,Third and Roger streets,,East Cambridge,,,
Trum Field,541 Broadway,Magoun Square,Somerville,,,
Tufts Administrative Building,167 Holland St., Tufts neighborhood near Teele Square,Somerville,,,
Union Square Plaza,Somerville,,,,,
Unity Somerville,6 William St.,just off College Avenue near Davis Square,Somerville,,,
Lesley University’s second floor University Hall,1815 Massachusetts Ave.,Porter Square,Cambridge ,,,
University Lutheran Church,66 Winthrop St.,Harvard Square,Cambridge ,,,
University Park Commons,65 Sidney St.,Cambridgeport near Central Square,Cambridge ,,,
Union Comedy,593 Somerville Ave.,,Somerville,,,
Union Tavern,345 Somerville Ave.,Union Square,Somerville ,,,
Urban Park Roof Garden at Kendall Center,325 Main St.,Kendall Square,Cambridge,,,
Cambridge Library Valente Branch,826 Cambridge St.,Wellington-Harrington,Cambridge ,,,
Veterans Cemetery,1332 Broadway,,,,,
Veterans Memorial Rink,570 Somerville Ave.,Spring Hill,Somerville,,,
VFW Mount Auburn Post 8818,688 Huron Ave., Strawberry Hill neighborhood,Cambridge ,,,
Vinyl Index,1 Bow Market Way No. 25,Union Square,Somerville ,,,
Massachusetts Institute of Technology’s W97 Theater,345 Vassar St.,Area II,Cambridge ,,,
Massachusetts Institute of Technology’s Building 50,also known as the Walker Memorial,142 Memorial Drive,Cambridge ,,,
Warehouse XI,11 Sanborn Court,Union Square,Somerville,,,
Lesley University’s Washburn Auditorium,10 Phillips Place,near Harvard Square,Cambridge ,,,
Washington Street Art Center,321 Washington St.,Ward 2,Somerville,,,
Water Department facility at 250 Fresh Pond Parkway,in West Cambridge at Fresh Pond,,Cambridge ,,,
John W. Weeks Footbridge,948 Memorial Drive, Riverside neighborhood,Cambridge ,,,
West Somerville Neighborhood School,177 Powder House Blvd. ,,West Somerville,,,
Lesley University’s White Hall Ampitheatre,29 Everett St., Baldwin neighborhood near Harvard Square,Cambridge ,,,
Cambridge Winter Farmers Market,5 Callender St.,Riverside,Cambridge ,,,
Winter Hill Brewing,328 Broadway, Winter Hill neighborhood,Somerville,,,
Winthrop Park in Harvard Square,,,Cambridge ,,,
Cambridge YMCA Theatre,820 Massachusetts Ave.,Central Square,Cambridge ,,,
YWCA Cambridge,7 Temple St.,Central Square,Cambridge ,,,
ZuZu,474 Massachusetts Ave.,Central Square,Cambridge,,,
