Cambridge School Committee,Dr. Henrietta S. Attles Meeting Room at Cambridge Rindge and Latin School,459 Broadway,Mid-Cambridge,,,
CambridgeSide,100 CambridgeSide Place,East Cambridge,,,,
Cantab Lounge,738 Massachusetts Ave.,Central Square,Cambridge ,,,
Cantab Underground,738 Massachusetts Ave.,Central Square,Cambridge ,,,
Capitol Theatre,204 Massachusetts Ave.,Arlington ,,,,
Centanni Park,Third and Otis streets,East Cambridge,,,,
Harvard University’s Center for Government & International Studies,1730 Cambridge St.,Harvard Square,Cambridge ,,,
Center for the Study of World Religions,42 Francis Ave.,Baldwin,Cambridge,,,
Cambridge Public Library’s Central Square Branch,45 Pearl St.,,,,,
Central Square Theater,450 Massachusetts Ave.,Central Square,Cambridge ,,,
Charles Square section of Harvard Square,Cambridge ,,,,,
Charlie’s Kitchen,10 Eliot St.,Harvard Square,Cambridge ,,,
Cheapo Records,538 Massachusetts Ave.,Central Square,Cambridge ,,,
Christ Church,Cambridge,Zero Garden St.,Harvard SquareSomerville city hall,,,
Chuckie Harris Park,15 Cross St. E,East Somerville,,,,
Cambridge City Hall,795 Massachusetts Ave.,Central Square,,,,
second floor of the City Hall Annex,344 Broadway,Mid-Cambridge,,,,
Citywide Senior Center,806 Massachusetts Ave.,Central Square,Cambridge,,,
Clement Morgan Park,60 Columbia St.,The Port,Cambridge ,,,
Cloud & Spirits,795 Main St.,The Port,Cambridge,,,
Club Passim,47 Palmer St.,Harvard Square,Cambridge,,,
Club Volo,301 Assembly Row,Mystic River,Somerville,,,
The Comedy Studio,5 John F. Kennedy St.,Harvard Square,Cambridge,,,
Comicazi,407 Highland Ave.,Davis Square,Somerville,,,
Common at CX,320 Morgan Ave.,North Point,Cambridge ,,,
Picnic Grove at CX,219 Jacobs St.,North Point,Cambridge ,,,
Community Art Center,119 Windsor St.,The Port,Cambridge ,,,
Community Ice Skating at Kendall Square,300 Athenaeum St.,Cambridge ,,,,
Massachusetts Institute of Technology’s Building 26-100,also known as the Compton Laboratories,at 60 Vassar St.,Cambridge ,,,
Connexion,149 Broadway,East Somerville ,,,,
Conway Park,550 Somerville Ave.,Ward 2,Somerville,,,
Ethelbert Cooper Gallery of African and African American Art,102 Mount Auburn St.,Harvard Square,Cambridge ,,,
Corporal Burns Park,32 Flagg St.,Riverside,Cambridge ,,,
Dana Park, 74 Magazine St.,Cambridgeport,,,,
The Dance Complex,536 Massachusetts Ave.,Central Square,Cambridge,,,
The Dance Complex@Canal,650 E. Kendall St.,Kendall Square,Cambridge ,,,
Danehy Park,99 Sherman St.,in Neighborhood 9 just east of Fresh Pond,Cambridge ,,,
Dante Alighieri Society Center,41 Hampshire St.,Kendall Square,Cambridge ,,,
Dante Club,3 Dante Terrace off Craigie Street, Spring Hill neighborhood near Porter Square in Somerville,,,,
